 OFE DD MM YYYY  Precip   Runoff   EffInt PeakRO  EffDur Enrich    Keff   Sm  LeafArea  CanHgt  Cancov IntCov  RilCov  LivBio DeadBio  Ki    Kr     Tcrit RilWid   SedLeave
 na  na na  na     mm       mm     mm/h    mm/h      h    Ratio    mm/h   mm    Index    m       %       %       %     Kg/m^2  Kg/m^2  na    na      na     m       kg/m
  3 30  4    1   45.890   15.749  21.855  13.745   1.146 0.996   9.674 588.635   0.581  0.152   19.425   56.216   56.216    0.015  0.169  0.153  0.450  3.171  0.150  142.400
  4 30  4    1   45.890   14.898  21.830  13.002   1.146 0.997   9.668 592.472   0.581  0.152   19.425   56.144   56.144    0.015  0.169  0.157  0.450  3.171  0.150  172.019
  5 30  4    1   45.890   14.432  22.468  12.595   1.146 1.021   9.971 595.510   0.581  0.152   19.425   56.227   56.227    0.015  0.169  0.153  0.450  3.215  0.150  243.378
  6 30  4    1   45.890   12.537  22.468  10.941   1.146 0.949   8.523 759.020   0.581  0.152   19.425   56.213   56.213    0.015  0.169  0.149  0.150  3.920  0.150  246.936
  1  1  5    1    0.000    0.000   0.000   0.000   0.000 0.000   4.241 577.689   0.000  0.000    0.000   87.725   87.725    0.000  0.912  0.153  0.450  3.235  0.119    0.000
  2  1  5    1    0.000    0.000   0.000   0.000   0.000 0.000   4.170 572.650   0.000  0.000    0.000   87.725   87.725    0.000  0.912  0.153  0.450  3.171  0.126    0.000
  3  1  5    1    0.000    0.000   0.000   0.000   0.000 0.000   5.529 582.818   0.940  0.212   27.928   56.072   56.072    0.023  0.168  0.153  0.450  3.171  0.150    0.000
  4  1  5    1    0.000    0.000   0.000   0.000   0.000 0.000   5.529 586.655   0.940  0.212   27.928   56.001   56.001    0.023  0.168  0.153  0.450  3.171  0.150    0.000
  5  1  5    1    0.000    0.000   0.000   0.000   0.000 0.000   5.529 589.693   0.940  0.212   27.928   56.083   56.083    0.023  0.168  0.153  0.450  3.215  0.150    0.000
  6  1  5    1    0.000    0.000   0.000   0.000   0.000 0.000   5.337 751.137   0.940  0.212   27.928   56.069   56.069    0.023  0.168  0.149  0.150  3.920  0.150    0.000
  1 15  5    1    0.000    0.000   0.000   0.000   0.000 0.000   8.851 563.854   0.000  0.000    0.000   55.939   55.939    0.000  0.356  0.459  4.418  3.213  0.000    0.000
  2 15  5    1    0.000    0.000   0.000   0.000   0.000 0.000   8.851 559.126   0.000  0.000    0.000   55.939   55.939    0.000  0.356  0.573  4.418  3.213  0.000    0.000
  3 15  5    1    0.000    0.000   0.000   0.000   0.000 0.000   6.254 520.916   8.973  0.510   99.633   53.630   53.630    0.400  0.157  0.153  0.450  3.171  0.150    0.000
  4 15  5    1    0.000    0.000   0.000   0.000   0.000 0.000   6.251 524.757   8.973  0.510   99.633   53.561   53.561    0.400  0.157  0.153  0.450  3.171  0.150    0.000
  5 15  5    1    0.000    0.000   0.000   0.000   0.000 0.000   6.613 527.737   8.973  0.510   99.633   53.648   53.648    0.400  0.157  0.153  0.450  3.216  0.150    0.000
  6 15  5    1    0.000    0.000   0.000   0.000   0.000 0.000   5.276 650.493   8.973  0.510   99.633   53.771   53.771    0.400  0.158  0.149  0.150  3.920  0.150    0.000
  1 23  5    1   17.030    0.000   0.000   0.000   0.000 0.000   8.851 573.952   0.000  0.000    0.000   24.577   24.577    0.000  0.123  1.043  4.191  3.404  0.000    0.000
  2 23  5    1   17.030    0.300  55.108   9.592   0.181 1.122   8.851 567.738   0.000  0.000    0.000   24.577   24.577    0.000  0.123  1.264  4.192  3.404  0.061    1.859
  3 23  5    1   17.030    0.000   0.000   0.000   0.181 0.005   7.862 501.544   8.998  0.510   99.967   52.478   52.478    0.573  0.152  0.153  0.450  3.171  0.150    0.000
  4 23  5    1   17.030    0.000   0.000   0.000   0.000 0.000   7.861 504.947   8.998  0.510   99.967   52.409   52.409    0.573  0.152  0.153  0.450  3.171  0.150    0.000
  5 23  5    1   17.030    0.000   0.000   0.000   0.000 0.000   7.892 505.075   8.999  0.510   99.977   52.595   52.595    0.600  0.153  0.153  0.450  3.216  0.150    0.000
  6 23  5    1   17.030    0.000   0.000   0.000   0.000 0.000   6.402 621.875   8.995  0.510   99.922   52.810   52.810    0.511  0.154  0.149  0.150  3.920  0.150    0.000
